,Reward,Feedback
0,147.0,67
1,75.0,37
2,110.0,53
3,105.0,49
4,142.0,79
5,120.0,54
6,104.0,46
7,103.0,49
8,64.0,32
9,119.0,56
10,160.0,75
11,153.0,62
12,163.0,81
13,100.0,59
14,137.0,82
15,161.0,81
16,135.0,58
17,101.0,52
18,163.0,93
19,97.0,48
20,84.0,31
21,125.0,60
22,199.0,100
23,105.0,45
24,141.0,64
25,72.0,27
26,141.0,63
27,145.0,75
28,149.0,68
29,127.0,55
30,130.0,62
31,171.0,77
32,148.0,66
33,129.0,64
34,112.0,65
35,160.0,70
36,143.0,75
37,58.0,25
38,109.0,55
39,105.0,44
40,147.0,77
41,106.0,45
42,123.0,70
43,133.0,58
44,141.0,67
45,104.0,47
46,178.0,75
47,82.0,33
48,200.0,91
49,174.0,64
50,200.0,89
51,169.0,83
52,150.0,69
53,200.0,98
54,142.0,61
55,124.0,58
56,160.0,72
57,190.0,94
58,139.0,68
59,197.0,98
60,200.0,86
61,200.0,91
62,121.0,45
63,200.0,104
64,158.0,61
65,200.0,85
66,135.0,63
67,193.0,77
68,163.0,78
69,172.0,79
70,171.0,79
71,169.0,83
72,150.0,77
73,200.0,111
74,176.0,81
75,195.0,92
76,200.0,103
77,200.0,92
78,199.0,97
79,151.0,64
80,183.0,93
81,200.0,96
82,200.0,103
83,200.0,85
84,200.0,95
85,200.0,98
86,200.0,88
87,200.0,94
88,177.0,74
89,200.0,96
90,171.0,81
91,200.0,107
92,200.0,89
93,165.0,85
94,200.0,88
95,200.0,100
96,200.0,91
97,198.0,103
98,137.0,62
99,150.0,68
100,200.0,102
101,143.0,69
102,200.0,117
103,200.0,90
104,200.0,96
105,200.0,108
106,200.0,93
107,158.0,73
108,200.0,100
109,142.0,66
110,200.0,92
111,144.0,63
112,179.0,86
113,200.0,103
114,200.0,99
115,170.0,74
116,200.0,95
117,173.0,85
118,200.0,102
119,200.0,102
120,145.0,67
121,167.0,75
122,126.0,61
123,135.0,68
124,200.0,92
125,200.0,92
126,187.0,85
127,200.0,98
128,200.0,86
129,200.0,98
130,200.0,89
131,200.0,91
132,200.0,97
133,200.0,96
134,200.0,94
135,185.0,93
136,200.0,92
137,130.0,69
138,200.0,101
139,153.0,83
140,200.0,99
141,143.0,71
142,146.0,64
143,200.0,98
144,200.0,91
145,190.0,87
146,200.0,101
147,167.0,61
148,197.0,94
149,200.0,102
150,120.0,63
151,200.0,95
152,154.0,68
153,120.0,56
154,200.0,95
155,195.0,90
156,131.0,61
157,197.0,81
158,200.0,100
159,176.0,77
160,155.0,76
161,151.0,70
162,200.0,102
163,107.0,44
164,199.0,89
