,Reward,Feedback
398,200.0,95
399,200.0,88
400,200.0,98
401,193.0,92
402,200.0,105
403,200.0,94
404,200.0,94
405,200.0,93
406,200.0,102
407,200.0,96
408,200.0,96
409,200.0,103
410,200.0,87
411,200.0,90
412,200.0,93
413,200.0,98
414,200.0,98
415,200.0,88
416,200.0,97
417,200.0,103
418,200.0,100
419,200.0,84
420,200.0,76
421,200.0,89
422,200.0,95
423,200.0,95
424,200.0,106
425,200.0,85
426,200.0,100
427,200.0,87
428,200.0,94
429,200.0,90
430,200.0,98
431,200.0,93
432,200.0,95
433,200.0,87
434,200.0,106
435,200.0,94
436,200.0,81
437,200.0,87
438,200.0,85
439,200.0,97
440,200.0,96
441,200.0,98
442,200.0,95
443,200.0,100
444,200.0,100
445,200.0,106
446,200.0,89
447,200.0,84
448,200.0,101
449,200.0,98
450,174.0,86
451,200.0,83
452,200.0,98
453,200.0,98
454,200.0,87
455,200.0,92
456,200.0,89
457,200.0,105
458,200.0,89
459,200.0,108
460,200.0,96
461,200.0,93
462,200.0,94
463,200.0,102
464,200.0,95
465,200.0,104
466,200.0,91
467,200.0,88
468,200.0,92
469,200.0,99
470,200.0,107
471,200.0,97
472,200.0,88
473,200.0,100
474,200.0,98
475,200.0,90
476,200.0,88
477,200.0,95
478,200.0,94
479,200.0,100
480,200.0,89
481,200.0,99
482,200.0,91
483,200.0,93
484,200.0,96
485,200.0,99
486,200.0,101
487,200.0,99
488,200.0,90
489,200.0,110
490,200.0,88
491,200.0,93
492,200.0,94
493,200.0,92
494,200.0,91
495,200.0,99
496,187.0,82
497,200.0,97
498,200.0,87
499,200.0,100
