,Reward,Feedback
398,200.0,36
399,185.0,47
400,136.0,28
401,195.0,38
402,160.0,43
403,192.0,50
404,180.0,60
405,176.0,38
406,199.0,48
407,200.0,43
408,200.0,46
409,200.0,56
410,200.0,49
411,200.0,42
412,164.0,34
413,190.0,47
414,190.0,36
415,200.0,46
416,173.0,42
417,200.0,47
418,200.0,49
419,168.0,40
420,200.0,30
421,191.0,47
422,200.0,41
423,154.0,31
424,200.0,45
425,193.0,44
426,200.0,39
427,200.0,45
428,200.0,52
429,193.0,52
430,160.0,29
431,165.0,37
432,142.0,45
433,200.0,46
434,200.0,42
435,200.0,47
436,200.0,47
437,122.0,30
438,196.0,43
439,162.0,37
440,200.0,43
441,200.0,39
442,200.0,51
443,200.0,41
444,186.0,53
445,200.0,54
446,193.0,47
447,190.0,48
448,200.0,44
449,159.0,43
450,195.0,56
451,152.0,44
452,162.0,39
453,147.0,37
454,172.0,40
455,185.0,47
456,200.0,37
457,176.0,48
458,116.0,39
459,200.0,57
460,178.0,36
461,200.0,54
462,197.0,43
463,180.0,39
464,200.0,51
465,200.0,52
466,152.0,29
467,139.0,34
468,200.0,51
469,200.0,47
470,200.0,51
471,198.0,49
472,200.0,56
473,173.0,31
474,199.0,45
475,181.0,37
476,200.0,46
477,200.0,48
478,200.0,40
479,200.0,47
480,200.0,43
481,153.0,26
482,200.0,42
483,200.0,53
484,200.0,46
485,200.0,54
486,187.0,42
487,183.0,32
488,142.0,36
489,171.0,34
490,153.0,33
491,176.0,37
492,140.0,37
493,194.0,46
494,80.0,19
495,185.0,46
496,149.0,25
497,132.0,32
498,140.0,26
499,149.0,28
