,Reward,Feedback
0,10.0,3
1,11.0,4
2,23.0,5
3,34.0,8
4,44.0,8
5,64.0,10
6,33.0,8
7,25.0,4
8,12.0,4
9,43.0,10
10,50.0,13
11,22.0,5
12,30.0,8
13,13.0,4
14,11.0,2
15,10.0,3
16,19.0,5
17,98.0,27
18,24.0,3
19,23.0,4
20,80.0,17
21,28.0,5
22,36.0,9
23,34.0,9
24,24.0,8
25,27.0,6
26,40.0,5
27,59.0,14
28,22.0,4
29,18.0,6
30,26.0,4
31,46.0,18
32,82.0,19
33,76.0,16
34,15.0,1
35,18.0,2
36,58.0,13
37,112.0,21
38,56.0,18
39,39.0,12
40,58.0,13
41,54.0,11
42,60.0,13
43,36.0,7
44,30.0,3
45,32.0,11
46,52.0,10
47,75.0,14
48,51.0,15
49,34.0,10
50,38.0,10
51,37.0,11
52,90.0,19
53,58.0,9
54,46.0,10
55,47.0,12
56,44.0,13
57,135.0,34
58,77.0,19
59,30.0,12
60,128.0,33
61,105.0,23
62,118.0,29
63,115.0,27
64,97.0,34
65,157.0,48
66,120.0,28
67,118.0,28
68,133.0,35
69,138.0,34
70,162.0,28
71,115.0,32
72,200.0,46
73,67.0,18
74,200.0,48
75,191.0,45
76,200.0,52
77,198.0,50
78,169.0,46
79,200.0,43
80,200.0,42
81,200.0,53
82,200.0,46
83,200.0,58
84,146.0,34
85,109.0,25
86,134.0,25
87,127.0,28
88,118.0,26
89,139.0,34
90,108.0,28
91,118.0,31
92,200.0,48
93,101.0,18
94,125.0,27
95,31.0,11
96,92.0,19
97,39.0,11
98,108.0,19
99,14.0,8
100,53.0,12
101,102.0,22
102,93.0,17
103,164.0,36
104,99.0,26
105,138.0,38
106,200.0,49
107,200.0,52
108,189.0,51
109,197.0,49
110,160.0,40
111,200.0,42
112,200.0,40
113,200.0,48
114,200.0,51
115,200.0,39
116,200.0,43
117,200.0,41
118,200.0,42
119,200.0,48
120,200.0,43
121,115.0,31
122,200.0,47
123,200.0,54
124,200.0,49
125,200.0,51
126,200.0,48
127,119.0,25
128,188.0,43
129,170.0,45
130,192.0,48
131,180.0,44
132,187.0,53
133,161.0,41
134,200.0,48
135,199.0,58
136,53.0,13
137,200.0,38
138,172.0,37
139,147.0,34
140,163.0,39
141,199.0,47
142,200.0,47
143,126.0,31
144,132.0,32
145,124.0,29
146,168.0,42
147,122.0,30
148,134.0,30
149,160.0,39
150,141.0,32
151,131.0,25
152,149.0,42
153,200.0,37
154,133.0,30
155,144.0,36
156,163.0,29
157,42.0,14
158,147.0,27
159,154.0,39
160,200.0,51
161,200.0,57
162,200.0,34
163,176.0,43
164,200.0,39
165,200.0,34
166,200.0,43
167,200.0,39
168,200.0,54
169,200.0,45
170,200.0,45
171,142.0,35
172,161.0,43
173,200.0,54
174,200.0,36
175,200.0,48
176,200.0,45
177,172.0,35
178,145.0,33
179,172.0,38
180,114.0,29
181,16.0,6
182,200.0,48
183,172.0,42
184,200.0,53
185,200.0,46
186,200.0,51
187,200.0,47
188,200.0,41
189,200.0,47
190,152.0,36
191,200.0,36
192,200.0,44
193,182.0,47
194,200.0,52
195,200.0,55
196,200.0,53
197,200.0,52
198,200.0,38
199,195.0,50
200,159.0,41
201,181.0,36
202,173.0,41
203,200.0,45
204,116.0,24
205,200.0,57
206,200.0,49
207,200.0,49
208,200.0,40
209,200.0,57
210,200.0,44
211,200.0,53
212,200.0,45
213,155.0,39
214,200.0,53
215,200.0,37
216,200.0,43
217,119.0,24
218,200.0,54
219,120.0,32
220,102.0,18
221,127.0,28
222,49.0,17
223,111.0,23
224,200.0,51
225,200.0,33
226,200.0,46
227,200.0,56
228,101.0,26
229,200.0,43
230,200.0,49
231,200.0,54
232,200.0,48
233,200.0,51
234,200.0,43
235,200.0,51
236,200.0,58
237,200.0,57
238,200.0,45
239,200.0,40
240,200.0,49
241,119.0,31
242,200.0,41
243,200.0,52
244,200.0,43
245,196.0,39
246,200.0,51
247,200.0,49
248,200.0,51
249,200.0,47
250,200.0,34
251,173.0,39
252,200.0,40
253,134.0,34
254,200.0,60
255,200.0,51
256,200.0,46
257,200.0,60
258,197.0,47
259,114.0,26
260,125.0,29
261,160.0,27
262,181.0,43
263,200.0,38
264,50.0,13
265,189.0,35
266,196.0,47
267,154.0,43
268,179.0,47
269,200.0,53
270,200.0,37
271,200.0,48
272,200.0,40
273,163.0,37
274,170.0,46
275,144.0,32
276,121.0,28
277,132.0,38
278,109.0,31
279,155.0,38
280,144.0,34
281,130.0,30
282,137.0,34
283,86.0,21
284,144.0,31
285,137.0,29
286,47.0,15
287,145.0,38
288,200.0,49
289,105.0,26
290,175.0,47
291,168.0,39
292,200.0,51
293,200.0,46
294,169.0,46
295,200.0,45
296,200.0,54
297,200.0,46
298,200.0,56
299,200.0,46
300,200.0,44
301,146.0,44
302,200.0,58
303,174.0,46
304,200.0,54
305,200.0,55
306,146.0,26
307,200.0,51
308,116.0,25
309,116.0,28
310,182.0,37
311,200.0,50
312,179.0,41
313,135.0,35
314,155.0,38
315,200.0,45
316,200.0,47
317,182.0,39
318,172.0,36
319,165.0,34
320,190.0,44
321,200.0,50
322,169.0,39
323,185.0,39
324,120.0,34
325,200.0,39
326,200.0,44
327,172.0,45
328,128.0,34
329,165.0,46
330,168.0,42
331,200.0,45
332,170.0,34
333,200.0,50
334,114.0,34
335,200.0,46
336,200.0,38
337,169.0,37
338,165.0,41
339,192.0,39
340,162.0,38
341,190.0,31
342,155.0,37
343,185.0,38
344,197.0,53
345,178.0,42
346,124.0,23
347,104.0,30
348,164.0,41
349,186.0,46
350,199.0,34
351,178.0,44
352,200.0,49
353,147.0,29
354,159.0,42
355,136.0,41
356,200.0,59
357,154.0,32
358,171.0,44
359,175.0,41
360,200.0,49
361,171.0,47
362,200.0,55
363,197.0,46
364,200.0,50
365,200.0,55
366,200.0,49
367,199.0,43
368,200.0,42
369,197.0,42
370,200.0,44
371,200.0,48
372,198.0,47
373,200.0,59
374,200.0,55
375,200.0,40
376,200.0,56
377,136.0,37
378,200.0,54
379,186.0,45
380,112.0,34
381,178.0,57
382,182.0,43
383,116.0,35
384,200.0,43
385,200.0,53
386,200.0,51
387,148.0,27
388,200.0,48
389,200.0,58
390,200.0,51
391,200.0,53
392,200.0,48
393,200.0,43
394,200.0,47
395,185.0,43
396,200.0,43
397,200.0,49
398,200.0,45
399,200.0,51
400,200.0,39
401,153.0,31
402,197.0,50
403,200.0,42
404,200.0,56
405,200.0,49
406,200.0,46
407,200.0,48
408,200.0,38
409,200.0,52
410,142.0,39
411,196.0,46
412,200.0,48
413,200.0,48
414,184.0,52
415,193.0,48
416,162.0,42
417,147.0,35
418,200.0,48
419,199.0,38
420,164.0,36
421,200.0,54
422,200.0,45
423,164.0,35
424,200.0,34
425,200.0,31
426,185.0,53
427,200.0,55
428,136.0,39
429,200.0,41
430,200.0,49
431,200.0,47
432,200.0,40
433,200.0,55
434,200.0,51
435,200.0,43
436,200.0,41
437,200.0,55
438,200.0,47
439,200.0,43
440,200.0,44
441,200.0,58
442,200.0,49
443,200.0,48
444,200.0,48
445,200.0,49
446,200.0,49
447,200.0,41
448,200.0,46
449,200.0,49
450,200.0,43
451,200.0,55
452,200.0,45
453,200.0,37
454,200.0,39
455,200.0,55
456,200.0,42
457,200.0,44
458,166.0,44
459,193.0,42
460,200.0,50
461,200.0,43
462,111.0,33
463,200.0,39
464,137.0,44
465,111.0,25
466,123.0,27
467,113.0,23
468,199.0,43
469,89.0,25
470,112.0,17
471,127.0,27
472,104.0,23
473,116.0,28
474,200.0,48
475,147.0,33
476,200.0,45
