,Reward,Feedback
0,12.0,2
1,16.0,3
2,11.0,2
3,10.0,1
4,9.0,3
5,11.0,3
6,8.0,1
7,8.0,0
8,14.0,4
9,10.0,3
10,9.0,1
11,10.0,3
12,9.0,1
13,14.0,3
14,14.0,3
15,11.0,1
16,14.0,3
17,11.0,1
18,10.0,1
19,12.0,1
20,11.0,4
21,10.0,2
22,12.0,2
23,17.0,2
24,13.0,3
25,10.0,1
26,21.0,5
27,16.0,3
28,53.0,13
29,31.0,11
30,11.0,3
31,10.0,1
32,9.0,2
33,10.0,1
34,8.0,0
35,12.0,1
36,10.0,4
37,11.0,3
38,10.0,3
39,9.0,3
40,12.0,1
41,11.0,4
42,10.0,4
43,10.0,2
44,11.0,3
45,10.0,1
46,11.0,1
47,16.0,6
48,25.0,8
49,12.0,2
50,11.0,3
51,17.0,4
52,16.0,1
53,18.0,5
54,17.0,6
55,20.0,4
56,28.0,6
57,35.0,10
58,20.0,8
59,35.0,8
60,46.0,4
61,42.0,13
62,27.0,12
63,45.0,12
64,40.0,10
65,27.0,3
66,43.0,13
67,39.0,6
68,55.0,10
69,51.0,9
70,69.0,14
71,29.0,6
72,25.0,7
73,35.0,6
74,72.0,20
75,67.0,17
76,17.0,7
77,22.0,2
78,58.0,14
79,20.0,5
80,15.0,6
81,15.0,4
82,16.0,4
83,28.0,9
84,73.0,20
85,23.0,7
86,135.0,29
87,52.0,10
88,75.0,19
89,84.0,22
90,74.0,28
91,101.0,25
92,105.0,30
93,92.0,20
94,139.0,38
95,19.0,4
96,24.0,8
97,39.0,6
98,33.0,8
99,64.0,16
100,28.0,4
101,42.0,10
102,42.0,11
103,101.0,21
104,126.0,20
105,100.0,22
106,93.0,24
107,84.0,23
108,46.0,15
109,107.0,24
110,98.0,19
111,97.0,12
112,181.0,43
113,94.0,20
114,141.0,37
115,92.0,16
116,200.0,40
117,78.0,21
118,111.0,24
119,98.0,22
120,123.0,32
121,125.0,26
122,83.0,19
123,37.0,13
124,67.0,16
125,154.0,44
126,91.0,17
127,114.0,33
128,83.0,20
129,41.0,9
130,110.0,33
131,108.0,28
132,89.0,29
133,98.0,25
134,88.0,26
135,36.0,12
136,91.0,15
137,79.0,20
138,101.0,15
139,150.0,37
140,121.0,31
141,118.0,26
142,26.0,10
143,189.0,44
144,124.0,20
145,142.0,43
146,145.0,25
147,98.0,28
148,200.0,40
149,200.0,54
150,52.0,9
151,82.0,19
152,171.0,43
153,100.0,20
154,117.0,27
155,37.0,11
156,130.0,23
157,100.0,28
158,69.0,13
159,177.0,35
160,200.0,48
161,200.0,46
162,102.0,20
163,156.0,36
164,124.0,31
165,198.0,53
166,164.0,35
167,162.0,32
168,122.0,34
169,155.0,27
170,147.0,27
171,200.0,41
172,99.0,26
173,102.0,26
174,78.0,24
175,58.0,10
176,39.0,7
177,52.0,13
178,146.0,33
179,51.0,10
180,49.0,14
181,40.0,8
