,Reward,Feedback
0,28.0,11
1,18.0,8
2,44.0,28
3,12.0,6
4,22.0,12
5,25.0,10
6,9.0,2
7,18.0,10
8,25.0,11
9,58.0,26
10,38.0,23
11,43.0,22
12,35.0,16
13,38.0,21
14,57.0,30
15,35.0,17
16,39.0,19
17,35.0,16
18,128.0,60
19,71.0,32
20,61.0,32
21,99.0,44
22,53.0,26
23,17.0,9
24,40.0,21
25,51.0,25
26,33.0,15
27,37.0,18
28,71.0,31
29,162.0,84
30,57.0,26
31,49.0,19
32,200.0,98
33,74.0,38
34,68.0,33
35,79.0,37
36,134.0,58
37,63.0,26
38,70.0,30
39,94.0,51
40,104.0,52
41,44.0,21
42,78.0,40
43,84.0,37
44,84.0,36
45,76.0,37
46,109.0,37
47,78.0,38
48,71.0,33
49,45.0,17
50,57.0,26
51,67.0,28
52,59.0,27
53,28.0,16
54,66.0,30
55,80.0,41
56,66.0,34
57,88.0,45
58,122.0,59
59,141.0,77
60,74.0,36
61,200.0,89
62,51.0,20
63,162.0,72
64,107.0,54
65,150.0,67
66,102.0,52
67,123.0,54
68,200.0,91
69,145.0,67
70,117.0,51
71,145.0,71
72,154.0,85
73,124.0,56
74,149.0,67
75,130.0,66
76,200.0,107
77,193.0,93
78,200.0,111
79,85.0,36
80,200.0,92
81,132.0,58
82,163.0,76
83,129.0,64
84,131.0,68
85,200.0,105
86,200.0,94
87,136.0,63
88,182.0,103
89,168.0,84
90,112.0,63
91,139.0,63
92,126.0,60
93,191.0,89
94,200.0,90
95,200.0,92
96,191.0,82
97,200.0,82
98,200.0,98
99,189.0,92
100,137.0,63
101,200.0,90
102,134.0,69
103,163.0,70
104,200.0,104
105,156.0,81
106,195.0,92
107,194.0,94
108,200.0,105
109,145.0,65
110,138.0,58
111,138.0,56
112,180.0,98
113,200.0,88
114,108.0,54
115,108.0,53
116,200.0,111
117,144.0,72
118,200.0,98
119,119.0,58
120,146.0,70
121,135.0,69
122,158.0,82
123,176.0,88
124,182.0,87
125,189.0,90
126,132.0,62
127,168.0,81
128,185.0,87
129,200.0,102
130,200.0,104
131,132.0,64
132,175.0,95
133,183.0,82
134,200.0,97
135,172.0,74
136,133.0,61
137,111.0,60
138,180.0,90
139,177.0,85
140,111.0,45
141,138.0,54
142,133.0,54
143,149.0,63
144,200.0,91
145,128.0,57
146,199.0,98
147,200.0,91
148,200.0,99
149,200.0,86
150,192.0,100
151,200.0,94
152,189.0,93
153,200.0,93
154,200.0,100
155,135.0,66
156,200.0,98
157,200.0,92
158,200.0,93
159,200.0,89
160,200.0,93
161,142.0,66
162,200.0,98
163,200.0,105
164,200.0,96
165,200.0,97
166,200.0,91
167,200.0,85
168,200.0,93
169,143.0,71
170,200.0,95
171,200.0,93
172,148.0,66
173,162.0,85
174,200.0,96
175,142.0,63
176,200.0,90
177,200.0,95
178,200.0,79
179,200.0,101
180,200.0,95
181,200.0,98
182,200.0,97
183,200.0,98
184,200.0,95
185,131.0,66
186,126.0,59
187,200.0,101
188,200.0,104
189,156.0,73
190,200.0,84
191,200.0,98
192,200.0,100
193,200.0,79
194,200.0,98
195,200.0,92
196,200.0,92
197,200.0,104
198,182.0,90
199,155.0,70
200,200.0,101
201,164.0,66
202,166.0,81
203,199.0,85
204,175.0,94
205,200.0,94
206,200.0,95
207,200.0,102
208,200.0,90
209,178.0,82
210,200.0,96
211,200.0,103
212,200.0,100
213,125.0,64
214,200.0,85
215,181.0,77
216,194.0,93
217,188.0,85
218,150.0,71
219,158.0,77
220,200.0,96
221,200.0,94
222,108.0,51
223,127.0,64
224,142.0,56
225,156.0,67
226,138.0,66
227,200.0,93
228,136.0,68
229,200.0,93
230,151.0,57
231,200.0,95
232,200.0,94
233,200.0,80
234,200.0,92
235,200.0,77
236,200.0,104
237,186.0,96
238,154.0,67
239,200.0,88
240,200.0,89
241,200.0,101
242,200.0,100
243,155.0,82
244,200.0,99
245,147.0,65
246,200.0,89
247,200.0,97
248,169.0,82
249,125.0,51
250,176.0,89
251,200.0,110
252,200.0,98
253,200.0,98
254,163.0,67
255,200.0,95
256,200.0,101
257,200.0,86
258,200.0,100
259,189.0,89
260,200.0,98
261,200.0,89
262,200.0,91
263,175.0,92
264,161.0,75
265,200.0,92
266,200.0,95
267,200.0,91
268,200.0,96
269,200.0,104
270,200.0,92
271,200.0,92
272,200.0,96
273,200.0,95
274,200.0,96
275,200.0,87
276,200.0,90
277,200.0,90
278,166.0,81
279,200.0,89
280,200.0,105
281,200.0,99
282,200.0,99
283,132.0,57
284,200.0,98
285,164.0,80
286,174.0,82
287,200.0,97
288,200.0,96
289,200.0,103
290,200.0,113
291,200.0,96
292,200.0,107
293,200.0,97
294,200.0,87
295,200.0,94
296,200.0,96
297,200.0,90
298,200.0,95
299,200.0,92
300,200.0,98
301,200.0,88
302,200.0,99
303,200.0,84
304,200.0,89
305,200.0,108
306,200.0,88
307,200.0,89
308,200.0,96
309,200.0,98
310,158.0,74
311,193.0,105
312,200.0,93
313,200.0,97
314,200.0,108
315,150.0,70
316,200.0,84
317,187.0,91
318,200.0,97
319,150.0,63
320,200.0,104
321,200.0,95
322,162.0,71
323,200.0,101
324,156.0,70
325,200.0,103
326,200.0,101
327,200.0,99
328,200.0,100
329,186.0,85
330,200.0,85
331,200.0,96
332,157.0,69
333,200.0,89
334,200.0,85
335,125.0,59
336,200.0,96
337,156.0,64
338,200.0,79
339,200.0,105
340,200.0,91
341,161.0,73
342,200.0,95
343,200.0,97
344,200.0,106
345,200.0,83
346,154.0,78
347,200.0,93
348,153.0,71
349,200.0,88
350,200.0,85
351,200.0,90
352,200.0,98
353,200.0,84
354,200.0,101
355,200.0,89
356,200.0,93
357,200.0,90
358,200.0,88
359,200.0,102
360,200.0,97
361,200.0,82
362,200.0,91
363,200.0,95
364,200.0,106
365,200.0,90
366,200.0,95
367,160.0,77
368,168.0,83
369,200.0,93
370,200.0,95
371,200.0,75
372,133.0,59
373,180.0,90
374,200.0,89
