,Reward,Feedback
0,12.0,1
1,10.0,3
2,14.0,8
3,10.0,2
4,14.0,3
5,10.0,5
6,10.0,1
7,9.0,0
8,10.0,1
9,18.0,7
10,8.0,1
11,10.0,5
12,12.0,7
13,19.0,8
14,9.0,2
15,11.0,2
16,10.0,2
17,11.0,4
18,11.0,3
19,15.0,2
20,33.0,10
21,12.0,4
22,10.0,1
23,13.0,3
24,12.0,2
25,11.0,4
26,16.0,6
27,9.0,2
28,10.0,3
29,13.0,6
30,14.0,6
31,10.0,2
32,13.0,2
33,10.0,0
34,10.0,2
35,9.0,3
36,11.0,3
37,9.0,1
38,8.0,3
39,11.0,2
40,15.0,8
41,13.0,6
42,14.0,5
43,19.0,5
44,13.0,1
45,39.0,15
46,51.0,7
47,48.0,8
48,44.0,12
49,54.0,11
50,53.0,9
51,162.0,28
52,53.0,11
53,83.0,26
54,98.0,20
55,96.0,23
56,43.0,9
57,55.0,10
58,154.0,40
59,79.0,18
60,53.0,9
61,42.0,13
62,143.0,38
63,50.0,13
64,102.0,22
65,42.0,9
66,87.0,24
67,79.0,17
68,45.0,9
69,143.0,37
70,108.0,25
71,79.0,20
72,57.0,18
73,200.0,37
74,65.0,19
75,82.0,27
76,87.0,23
77,143.0,35
78,69.0,24
79,138.0,39
80,100.0,25
81,171.0,42
82,71.0,15
83,79.0,19
84,104.0,27
85,134.0,36
86,200.0,37
87,87.0,22
88,95.0,28
89,94.0,21
90,75.0,29
91,135.0,28
92,70.0,18
93,76.0,22
94,141.0,37
95,146.0,41
96,62.0,19
97,93.0,16
98,79.0,19
99,96.0,19
100,66.0,17
101,74.0,13
102,88.0,26
103,200.0,40
104,49.0,18
105,116.0,33
106,103.0,23
107,114.0,28
108,155.0,43
109,121.0,28
110,104.0,34
111,185.0,54
112,71.0,15
113,74.0,19
114,135.0,24
115,158.0,46
116,101.0,15
117,120.0,30
118,162.0,30
119,200.0,45
120,71.0,17
121,155.0,35
122,81.0,23
123,122.0,36
124,82.0,20
125,94.0,26
126,77.0,21
127,84.0,23
128,98.0,23
129,123.0,29
130,197.0,41
131,150.0,39
132,113.0,25
133,108.0,24
134,92.0,25
135,138.0,37
136,124.0,23
137,163.0,40
138,143.0,26
139,131.0,27
140,187.0,50
141,151.0,52
142,159.0,45
143,29.0,14
144,136.0,31
145,116.0,28
146,200.0,49
147,163.0,34
148,149.0,44
149,140.0,27
150,200.0,33
151,146.0,47
152,192.0,52
153,182.0,56
154,68.0,22
155,172.0,37
156,129.0,26
157,198.0,48
158,140.0,32
159,82.0,22
160,69.0,22
161,151.0,33
162,151.0,41
163,196.0,35
164,27.0,13
165,167.0,38
166,126.0,17
167,146.0,30
168,199.0,45
169,85.0,19
170,166.0,38
171,200.0,48
172,200.0,47
173,200.0,47
174,158.0,40
175,186.0,45
176,196.0,49
177,200.0,44
178,165.0,37
179,170.0,41
180,200.0,50
181,200.0,53
182,179.0,39
183,200.0,46
184,200.0,42
185,200.0,50
186,200.0,44
187,200.0,53
188,200.0,46
189,199.0,47
190,200.0,42
191,185.0,43
192,184.0,38
193,189.0,46
194,131.0,39
195,176.0,43
196,200.0,40
197,181.0,44
198,171.0,37
199,185.0,54
200,200.0,51
201,186.0,47
202,200.0,38
203,110.0,33
204,199.0,45
205,149.0,27
206,200.0,48
207,200.0,52
208,200.0,51
209,200.0,42
210,200.0,36
211,200.0,54
212,200.0,32
213,140.0,35
214,185.0,41
215,200.0,50
216,149.0,30
217,101.0,27
218,183.0,37
219,192.0,38
220,145.0,28
221,190.0,37
222,200.0,48
223,142.0,38
224,183.0,39
225,154.0,29
226,200.0,51
227,200.0,48
228,200.0,48
229,200.0,48
230,200.0,52
231,144.0,42
232,200.0,45
233,200.0,56
234,190.0,41
235,200.0,49
236,199.0,41
237,168.0,43
238,200.0,52
239,193.0,47
240,200.0,45
241,159.0,35
242,200.0,47
243,175.0,35
244,200.0,51
245,182.0,44
246,178.0,40
247,200.0,44
248,200.0,42
249,200.0,42
250,200.0,46
251,192.0,39
252,100.0,26
253,200.0,51
254,200.0,38
255,200.0,42
256,198.0,46
257,200.0,51
258,200.0,53
259,162.0,47
260,200.0,52
261,168.0,39
262,200.0,54
263,200.0,41
264,200.0,42
265,176.0,45
266,200.0,45
267,200.0,48
268,200.0,49
269,117.0,31
270,200.0,59
271,200.0,40
272,200.0,41
273,200.0,62
274,200.0,49
275,193.0,51
276,200.0,35
277,200.0,47
278,200.0,54
279,200.0,44
280,200.0,47
281,200.0,45
282,200.0,45
283,200.0,55
284,182.0,46
285,200.0,40
286,200.0,48
287,200.0,46
288,200.0,54
289,200.0,39
290,200.0,52
291,194.0,56
292,200.0,47
293,200.0,55
294,193.0,41
295,200.0,47
296,179.0,46
297,180.0,49
298,186.0,51
299,200.0,47
300,200.0,56
301,187.0,40
302,200.0,52
303,200.0,43
304,198.0,52
305,200.0,42
306,200.0,49
307,200.0,41
308,200.0,48
309,200.0,49
310,200.0,41
311,200.0,43
312,200.0,50
313,163.0,41
314,126.0,29
315,200.0,48
316,167.0,45
317,200.0,42
318,200.0,47
319,200.0,51
320,200.0,37
321,178.0,41
322,200.0,50
323,200.0,43
324,200.0,48
325,198.0,54
326,200.0,48
327,200.0,44
328,200.0,51
329,200.0,39
330,200.0,50
331,200.0,59
332,200.0,57
333,200.0,50
334,200.0,51
335,175.0,44
336,200.0,49
337,200.0,53
338,200.0,42
339,200.0,48
340,174.0,35
341,200.0,54
342,200.0,46
343,175.0,45
344,200.0,56
345,200.0,38
346,165.0,34
347,194.0,48
348,162.0,28
349,200.0,46
350,200.0,52
351,200.0,46
352,158.0,44
353,200.0,49
354,200.0,57
355,173.0,50
356,164.0,44
357,200.0,41
358,200.0,54
359,173.0,46
360,200.0,49
361,200.0,59
362,170.0,38
363,171.0,36
364,200.0,56
365,200.0,41
366,200.0,50
367,200.0,39
368,41.0,12
369,200.0,52
370,200.0,57
371,178.0,47
372,200.0,53
373,200.0,53
374,200.0,42
375,200.0,44
376,194.0,53
377,200.0,51
