,Reward,Feedback
0,16.0,5
1,29.0,17
2,19.0,7
3,13.0,3
4,19.0,9
5,35.0,16
6,43.0,20
7,91.0,41
8,26.0,11
9,20.0,10
10,62.0,36
11,160.0,84
12,124.0,57
13,53.0,30
14,88.0,44
15,66.0,33
16,72.0,35
17,79.0,35
18,45.0,24
19,151.0,73
20,36.0,10
21,52.0,24
22,28.0,11
23,64.0,29
24,124.0,63
25,165.0,84
26,133.0,65
27,59.0,27
28,103.0,59
29,120.0,58
30,100.0,50
31,72.0,30
32,61.0,25
33,150.0,67
34,74.0,32
35,104.0,42
36,200.0,95
37,80.0,31
38,85.0,44
39,82.0,46
40,162.0,81
41,124.0,50
42,182.0,82
43,142.0,65
44,151.0,72
45,146.0,68
46,200.0,97
47,200.0,90
48,200.0,94
49,51.0,25
50,94.0,39
51,76.0,35
52,119.0,54
53,77.0,24
54,132.0,66
55,146.0,63
56,132.0,60
57,154.0,66
58,48.0,19
59,200.0,84
60,200.0,104
61,188.0,91
62,200.0,88
63,200.0,95
64,200.0,93
65,166.0,82
66,200.0,93
67,138.0,66
68,200.0,89
69,200.0,99
70,200.0,89
71,200.0,103
72,200.0,83
73,136.0,63
74,164.0,74
75,161.0,75
76,200.0,96
77,193.0,94
78,200.0,83
79,130.0,63
80,200.0,94
81,200.0,90
82,200.0,84
83,200.0,98
84,200.0,102
85,200.0,97
86,200.0,104
87,200.0,112
88,200.0,84
89,200.0,109
90,200.0,89
91,200.0,86
92,186.0,80
93,200.0,96
94,200.0,101
95,200.0,98
96,200.0,89
97,200.0,103
98,200.0,85
99,200.0,98
100,200.0,92
101,185.0,88
102,200.0,87
103,200.0,89
104,200.0,106
105,200.0,98
106,148.0,62
107,146.0,62
108,165.0,76
109,200.0,93
110,154.0,72
111,200.0,85
112,117.0,51
113,200.0,98
114,200.0,101
115,157.0,72
116,178.0,82
117,200.0,95
118,200.0,102
119,200.0,97
120,200.0,88
121,200.0,96
122,200.0,96
123,146.0,73
124,200.0,86
125,200.0,86
126,200.0,92
127,200.0,101
128,178.0,84
