,Reward,Feedback
0,27.0,5
1,26.0,11
2,10.0,1
3,9.0,1
4,11.0,3
5,11.0,3
6,11.0,3
7,8.0,0
8,14.0,5
9,10.0,1
10,10.0,2
11,10.0,3
12,12.0,3
13,10.0,2
14,9.0,1
15,13.0,4
16,13.0,4
17,14.0,6
18,11.0,2
19,12.0,4
20,14.0,6
21,11.0,7
22,67.0,17
23,52.0,17
24,110.0,20
25,81.0,13
26,77.0,19
27,32.0,4
28,40.0,7
29,25.0,8
30,47.0,11
31,23.0,8
32,51.0,12
33,21.0,5
34,20.0,3
35,30.0,4
36,23.0,6
37,53.0,13
38,34.0,8
39,15.0,4
40,23.0,8
41,21.0,4
42,77.0,16
43,34.0,8
44,19.0,2
45,35.0,8
46,49.0,12
47,44.0,3
48,60.0,24
49,40.0,9
50,50.0,12
51,39.0,4
52,24.0,7
53,11.0,3
54,33.0,9
55,24.0,7
56,57.0,13
57,30.0,5
58,17.0,4
59,31.0,4
60,56.0,13
61,62.0,20
62,35.0,8
63,115.0,28
64,200.0,54
65,200.0,41
66,110.0,29
67,103.0,23
68,91.0,18
69,96.0,16
70,71.0,16
71,81.0,15
72,32.0,9
73,47.0,7
74,62.0,10
75,200.0,53
76,90.0,25
77,50.0,12
78,62.0,9
79,67.0,15
80,70.0,11
81,94.0,15
82,100.0,15
83,93.0,22
84,69.0,17
85,51.0,13
86,82.0,20
87,80.0,23
88,108.0,27
89,118.0,25
90,85.0,16
91,101.0,25
92,103.0,23
93,162.0,41
94,131.0,33
95,200.0,49
96,200.0,50
97,143.0,36
98,94.0,25
99,96.0,27
100,200.0,40
101,191.0,44
102,134.0,28
103,140.0,38
104,113.0,26
105,133.0,30
106,200.0,39
107,200.0,43
108,156.0,26
109,148.0,33
110,78.0,31
111,24.0,8
112,44.0,12
113,176.0,44
114,113.0,24
115,122.0,24
116,149.0,36
117,196.0,40
118,180.0,43
119,200.0,60
120,102.0,28
121,93.0,27
122,116.0,29
123,160.0,33
124,200.0,55
125,200.0,54
126,155.0,39
127,200.0,34
128,107.0,24
129,152.0,30
130,93.0,21
131,113.0,27
132,88.0,26
133,105.0,28
134,88.0,22
135,79.0,15
136,88.0,24
137,87.0,28
138,120.0,37
139,127.0,30
140,108.0,21
141,200.0,47
142,107.0,20
143,158.0,35
144,192.0,43
145,200.0,48
146,152.0,38
147,200.0,43
148,189.0,32
149,154.0,30
150,128.0,35
151,200.0,36
152,200.0,54
153,200.0,45
154,184.0,46
155,200.0,41
156,200.0,57
157,200.0,47
158,200.0,41
159,200.0,48
160,200.0,41
161,157.0,37
162,133.0,31
163,137.0,34
164,200.0,32
165,161.0,39
166,197.0,49
167,200.0,54
168,143.0,39
169,200.0,61
170,196.0,54
171,200.0,45
172,200.0,44
173,175.0,44
174,200.0,56
175,191.0,49
176,185.0,40
177,200.0,50
178,200.0,57
179,200.0,46
180,200.0,48
181,200.0,52
182,200.0,43
183,200.0,44
184,200.0,46
185,200.0,51
186,200.0,38
187,200.0,35
188,200.0,49
189,200.0,60
190,200.0,53
191,200.0,47
192,175.0,47
193,143.0,46
194,200.0,46
195,200.0,46
196,200.0,41
197,171.0,44
198,200.0,49
199,200.0,45
200,200.0,47
201,172.0,47
202,200.0,45
203,182.0,34
204,177.0,41
205,200.0,61
206,200.0,58
207,148.0,42
208,200.0,54
209,200.0,68
210,200.0,49
211,75.0,25
212,190.0,38
213,200.0,36
214,200.0,42
215,200.0,46
216,200.0,51
217,200.0,40
218,200.0,40
219,128.0,33
220,174.0,35
221,200.0,50
222,114.0,26
223,200.0,52
224,181.0,39
225,132.0,32
226,138.0,26
227,200.0,38
228,200.0,36
229,200.0,51
230,200.0,36
231,200.0,47
232,182.0,43
233,200.0,50
234,136.0,29
235,146.0,35
236,200.0,48
237,196.0,47
238,179.0,45
239,200.0,45
240,200.0,54
241,199.0,44
242,200.0,54
243,200.0,49
244,200.0,47
245,176.0,39
246,200.0,59
247,200.0,30
248,200.0,48
249,189.0,45
250,200.0,58
251,200.0,39
252,200.0,38
253,200.0,50
254,200.0,46
255,200.0,48
256,200.0,52
257,99.0,32
258,107.0,21
259,137.0,38
260,200.0,45
261,200.0,55
262,200.0,55
263,200.0,53
264,165.0,39
265,200.0,52
266,137.0,17
267,116.0,35
268,102.0,24
269,150.0,41
270,155.0,42
271,200.0,46
272,101.0,23
273,133.0,21
274,200.0,55
275,200.0,51
276,200.0,46
277,200.0,42
278,200.0,45
279,200.0,39
280,166.0,26
281,200.0,40
282,150.0,34
283,200.0,42
284,73.0,15
285,200.0,36
286,122.0,28
287,129.0,32
288,200.0,51
289,131.0,18
290,200.0,47
291,200.0,51
292,200.0,43
293,200.0,52
294,200.0,44
295,200.0,52
296,191.0,46
297,200.0,56
298,137.0,33
299,130.0,30
300,99.0,27
301,172.0,40
302,105.0,24
303,111.0,20
304,200.0,52
305,200.0,52
306,200.0,41
307,200.0,46
308,148.0,29
309,200.0,42
310,159.0,34
311,166.0,48
312,126.0,39
313,170.0,32
314,200.0,51
315,200.0,46
316,142.0,28
317,102.0,14
318,113.0,25
319,164.0,41
320,136.0,39
321,165.0,39
322,154.0,40
323,200.0,51
324,191.0,47
325,182.0,37
326,200.0,53
327,200.0,40
328,91.0,28
329,165.0,36
330,190.0,51
331,200.0,52
332,137.0,30
333,197.0,44
334,133.0,36
335,143.0,38
336,173.0,49
337,200.0,48
338,165.0,38
339,200.0,52
340,200.0,40
341,200.0,43
342,200.0,39
343,65.0,14
344,150.0,32
345,200.0,43
346,54.0,16
347,171.0,42
348,200.0,40
349,159.0,42
350,149.0,34
351,105.0,20
352,194.0,33
353,159.0,33
354,156.0,33
355,200.0,42
356,128.0,34
357,198.0,46
358,149.0,31
359,184.0,35
360,104.0,26
361,161.0,30
362,170.0,37
363,200.0,46
364,200.0,41
365,134.0,30
366,200.0,43
367,124.0,28
368,200.0,49
369,200.0,33
370,200.0,50
371,200.0,52
372,200.0,49
373,183.0,49
374,186.0,45
375,200.0,49
376,200.0,45
377,181.0,41
378,200.0,55
379,200.0,52
380,174.0,46
381,200.0,47
382,200.0,37
383,200.0,45
384,173.0,37
385,200.0,53
386,200.0,48
387,200.0,53
388,200.0,41
389,200.0,48
390,145.0,38
391,200.0,41
392,200.0,50
393,195.0,39
394,200.0,53
395,200.0,48
396,200.0,51
397,200.0,40
398,200.0,48
399,200.0,42
400,200.0,46
401,200.0,54
402,200.0,43
403,200.0,47
404,76.0,20
405,200.0,48
406,200.0,53
407,200.0,48
408,185.0,38
409,188.0,53
410,200.0,43
411,200.0,47
412,200.0,44
413,200.0,45
414,200.0,52
415,200.0,49
416,200.0,50
417,200.0,66
418,200.0,50
419,200.0,44
420,200.0,52
421,200.0,48
422,200.0,52
423,200.0,44
424,200.0,47
425,200.0,52
426,200.0,44
427,200.0,51
428,200.0,42
429,200.0,47
430,198.0,45
431,200.0,40
432,200.0,45
433,200.0,41
434,200.0,46
435,200.0,44
436,200.0,52
437,200.0,46
438,200.0,47
439,200.0,44
440,200.0,49
441,200.0,44
442,200.0,56
443,79.0,25
444,200.0,43
445,200.0,53
446,196.0,50
447,200.0,33
448,200.0,39
449,200.0,55
450,200.0,48
451,179.0,46
452,200.0,37
453,189.0,34
454,200.0,56
455,200.0,45
456,200.0,51
457,200.0,40
458,200.0,44
459,200.0,46
460,186.0,49
461,200.0,44
462,200.0,54
463,200.0,46
464,200.0,47
465,200.0,41
466,200.0,37
467,200.0,52
468,200.0,51
469,200.0,40
470,200.0,54
471,200.0,51
472,200.0,49
473,200.0,52
474,200.0,51
475,28.0,12
476,200.0,45
477,200.0,44
478,200.0,42
479,200.0,52
480,200.0,47
481,200.0,44
482,200.0,44
483,200.0,39
484,200.0,50
485,200.0,45
486,200.0,48
487,200.0,49
488,200.0,44
489,200.0,42
490,200.0,51
491,200.0,53
492,200.0,51
493,200.0,44
494,200.0,47
495,200.0,35
496,200.0,38
497,200.0,50
498,200.0,43
499,200.0,48
