,0
532,155.0
533,200.0
534,200.0
535,200.0
536,200.0
537,200.0
538,179.0
539,148.0
540,200.0
541,200.0
542,200.0
543,193.0
544,177.0
545,163.0
546,200.0
547,200.0
548,200.0
549,189.0
550,177.0
551,200.0
552,200.0
553,200.0
554,152.0
555,200.0
556,200.0
557,177.0
558,200.0
559,200.0
560,200.0
561,178.0
562,200.0
563,194.0
564,200.0
565,200.0
566,200.0
567,146.0
568,184.0
569,200.0
570,163.0
571,158.0
572,200.0
573,121.0
574,197.0
575,200.0
576,154.0
577,151.0
578,200.0
579,200.0
580,200.0
581,151.0
582,152.0
583,197.0
584,143.0
585,200.0
586,200.0
587,177.0
588,200.0
589,200.0
590,162.0
591,96.0
592,180.0
593,173.0
594,164.0
595,163.0
596,124.0
597,139.0
598,200.0
599,200.0
600,200.0
601,195.0
602,200.0
603,200.0
604,200.0
605,200.0
606,165.0
607,200.0
608,158.0
609,200.0
610,200.0
611,200.0
612,176.0
613,200.0
614,200.0
615,200.0
616,200.0
617,200.0
618,172.0
619,200.0
620,200.0
621,169.0
622,200.0
623,200.0
624,161.0
625,156.0
626,158.0
627,174.0
628,151.0
629,200.0
630,200.0
631,199.0
632,200.0
633,200.0
634,168.0
635,177.0
636,146.0
637,164.0
638,172.0
639,197.0
640,188.0
641,200.0
642,148.0
643,200.0
644,200.0
645,200.0
646,171.0
647,188.0
648,200.0
649,146.0
650,166.0
651,200.0
652,178.0
653,200.0
654,174.0
655,188.0
656,173.0
657,165.0
658,200.0
659,200.0
660,200.0
661,167.0
662,200.0
663,171.0
664,153.0
665,153.0
666,200.0
667,200.0
668,179.0
669,200.0
670,200.0
671,200.0
672,169.0
673,200.0
674,153.0
675,167.0
676,184.0
677,194.0
678,200.0
679,168.0
680,142.0
681,186.0
682,170.0
683,148.0
684,200.0
685,200.0
686,200.0
687,146.0
688,200.0
689,179.0
690,148.0
691,157.0
692,200.0
693,133.0
694,136.0
695,200.0
696,200.0
697,171.0
698,200.0
699,200.0
700,200.0
701,200.0
702,167.0
703,200.0
704,200.0
705,200.0
706,200.0
707,175.0
708,200.0
709,185.0
710,200.0
711,127.0
712,200.0
713,176.0
714,200.0
715,200.0
716,200.0
717,200.0
718,123.0
719,143.0
720,147.0
721,152.0
722,200.0
723,200.0
724,200.0
725,200.0
726,200.0
727,176.0
728,200.0
729,200.0
730,200.0
731,200.0
732,174.0
733,156.0
734,146.0
735,200.0
736,159.0
737,181.0
738,152.0
739,200.0
740,200.0
741,156.0
742,200.0
743,173.0
744,161.0
745,200.0
746,150.0
747,152.0
748,132.0
749,200.0
750,164.0
751,200.0
752,200.0
753,200.0
754,152.0
755,151.0
756,200.0
757,168.0
758,200.0
759,137.0
760,138.0
761,200.0
762,200.0
763,151.0
764,142.0
765,151.0
766,200.0
767,142.0
768,200.0
769,155.0
770,200.0
771,200.0
772,200.0
773,200.0
774,154.0
775,200.0
776,200.0
777,142.0
778,153.0
779,174.0
780,200.0
781,141.0
782,159.0
783,200.0
784,156.0
785,200.0
786,146.0
787,200.0
788,200.0
789,164.0
790,200.0
791,200.0
792,200.0
793,200.0
794,200.0
795,200.0
796,196.0
797,200.0
798,194.0
799,200.0
800,129.0
801,200.0
802,200.0
803,143.0
804,200.0
805,200.0
806,128.0
807,200.0
808,183.0
809,200.0
810,200.0
811,145.0
812,200.0
813,200.0
814,146.0
815,200.0
816,200.0
817,138.0
818,156.0
819,192.0
820,165.0
821,138.0
822,200.0
823,134.0
824,176.0
825,200.0
826,200.0
827,137.0
828,200.0
829,140.0
830,155.0
831,200.0
832,141.0
833,192.0
834,188.0
835,200.0
836,200.0
837,200.0
838,200.0
839,200.0
840,149.0
841,142.0
842,200.0
843,183.0
844,200.0
845,200.0
846,200.0
847,200.0
848,160.0
849,187.0
850,200.0
851,200.0
852,168.0
853,161.0
854,179.0
855,200.0
856,200.0
857,200.0
858,155.0
859,200.0
860,200.0
861,200.0
862,164.0
863,200.0
864,200.0
865,157.0
866,192.0
867,200.0
868,146.0
869,134.0
870,150.0
871,157.0
872,161.0
873,200.0
874,127.0
875,200.0
876,160.0
877,194.0
878,157.0
879,176.0
880,141.0
881,200.0
882,189.0
883,200.0
884,190.0
885,154.0
886,144.0
887,200.0
888,142.0
889,142.0
890,126.0
891,162.0
892,146.0
893,190.0
894,146.0
895,185.0
896,200.0
897,179.0
898,171.0
899,146.0
900,200.0
901,169.0
902,149.0
903,147.0
904,156.0
905,157.0
906,185.0
907,186.0
908,172.0
909,168.0
910,181.0
911,200.0
912,200.0
913,200.0
914,200.0
915,125.0
916,161.0
917,200.0
918,191.0
919,145.0
920,195.0
921,200.0
922,200.0
923,200.0
924,200.0
925,200.0
926,200.0
927,200.0
928,183.0
929,200.0
930,200.0
931,200.0
932,200.0
933,200.0
934,200.0
935,165.0
936,158.0
937,200.0
938,200.0
939,200.0
940,200.0
941,200.0
942,200.0
943,200.0
944,158.0
945,200.0
946,161.0
947,200.0
948,200.0
949,194.0
950,200.0
951,200.0
952,195.0
953,193.0
954,200.0
955,200.0
956,200.0
